20%acc_s,20%acc_o,20%MVF,40%acc_s,40%acc_o,40%MVF,100%MVF,MT,HR,ST,condition,emotion
32.5,84,10.25,38.5,88.5,15.85,44.65,40,71,7,54,24
52,72,11.3,48.5,80,21.2,44.05,42,73,7,84.2,59.4
31.5,75,10.25,45,83.5,13.75,41,44,84,7,63.9,75.9
32,47,13.25,52,68,22.9,43.3,39,88,8,62.7,53.7
34,42,13.25,31,85.5,19.25,42,41,83,8,66.9,54.9
53.5,90,9.45,35.5,96.5,17.9,46.25,40,77,6,37,-15.2
38,29,15.5,39,88.5,20.25,45.25,42,88,8,28.4,1.5
50.5,55.5,12.75,35.5,87.5,15.6,44.1,43,96,9,41.5,10.1
34,3,17.85,48,72,23.15,45.3,40,88,2,58.8,14.3
33.5,85,8.15,41,96,17.4,45.3,39,87,8,58.5,24.5
41.5,35.5,15.6,37.5,92.5,17.55,47.45,39,81,6,66.9,43.9
24,69,11.95,38,74.5,20,45.55,40,87,9,69,42.1
31.5,73.5,10.55,36.5,93.5,17.8,41.75,39,89,7,60.9,20.9
27,79,10.65,40.5,95,18.5,44.05,40,84,7,72.5,49
29.5,63,12.3,39,90.5,17,46,39,76,1,55.8,28.9
43,87,9,35.5,84.5,15.1,45.95,37,74,7,32.5,16.1
34,62.5,12.5,27.5,85,17.25,45.5,39,80,2,45.4,7.1
31.5,77,10.7,40,71.5,22.35,43.4,37,90,10,60,23.3
35,29.5,14.7,30,57,20.45,43.05,38,83,6,64.5,39.4
34.5,91.5,10.25,36,97,19.25,47.2,40,84,7,52.8,-12.5
33.5,36,15.6,32.5,75.5,23.65,47.5,39,76,6,56.1,11.3
34.5,77.5,11.3,38.5,93,17.1,46.1,39,84,9,60.3,27.8
30.5,-8,18.1,18,76,21.55,43.45,37,84,6,10.1,-19.4
33,71.5,21.9,36.5,86,18.55,42.55,39,80,8,41.2,5.7
30.5,15.5,15.65,37,68,22.4,42.45,39,72,9,62.7,26.3